Crime_ID,Crime_Type,Location,Latitude,Longitude,Date,Time,Area,Severity,Arrest_Made
36,Drug Offenses,Ahmedabad,22.999846,72.564302,08-08-2023,04:38:11,Municipal Area,3,Yes
37,Counterfeiting,Ahmedabad,23.042516,72.560193,12-08-2023,03:04:10,Town Center,3,No
38,Hurt,Ahmedabad,23.006938,72.578175,04-08-2024,11:47:34,Town Center,2,No
39,Counterfeiting,Ahmedabad,23.037801,72.546806,08-06-2023,04:25:35,Town Center,3,No
40,Counterfeiting,Ahmedabad,23.011568,72.543131,04-11-2024,09:10:45,Town Center,3,Yes
41,Cyber Crime,Amritsar,31.632266,74.885276,29-07-2024,13:49:25,Peripheral Zone,3,No
42,Counterfeiting,Amritsar,31.647931,74.898187,11-10-2023,15:12:45,Town Center,3,No
43,Arson,Amritsar,31.614318,74.866628,18-05-2024,16:10:42,Municipal Area,5,No
44,Arson,Asansol,23.658785,86.981932,21-02-2023,08:57:06,Municipal Area,4,Yes
45,Robbery,Asansol,23.658984,86.99672,20-01-2024,07:01:23,Town Center,4,No
46,POCSO Cases,Asansol,23.673475,86.968442,13-11-2024,00:25:45,Town Center,4,Yes
47,Auto Theft,Asansol,23.676132,87.01033,14-06-2023,02:30:52,Municipal Area,3,Yes
48,Sexual Harassment,Asansol,23.689841,86.953773,23-08-2023,13:38:48,Peripheral Zone,4,No
49,Counterfeiting,Aurangabad,19.875236,75.329062,04-09-2024,09:25:58,Peripheral Zone,3,No
50,Cheating,Aurangabad,19.900991,75.31333,27-09-2023,10:34:37,Peripheral Zone,2,No
51,Sexual Harassment,Aurangabad,19.899247,75.345708,15-05-2024,06:44:27,Municipal Area,3,Yes
52,Criminal Breach of Trust,Aurangabad,19.863562,75.360952,26-06-2024,06:15:21,Peripheral Zone,2,No
53,Burglary,Aurangabad,19.866834,75.314129,05-09-2024,13:34:51,Municipal Area,3,No
54,Riots,Aurangabad,19.87883,75.318669,27-03-2024,14:28:57,Peripheral Zone,5,Yes
55,Arson,Bengaluru,12.98464,77.612216,09-11-2023,20:08:21,Suburb,5,No
56,Auto Theft,Bengaluru,12.994555,77.591017,02-02-2023,09:48:52,Downtown,3,No
57,Gambling,Bengaluru,12.998832,77.577626,02-04-2023,06:26:50,Commercial District,1,No
58,Kidnapping,Bengaluru,13.000488,77.609419,16-04-2023,14:39:19,Market Area,4,No
59,Burglary,Bengaluru,12.983861,77.589823,10-03-2023,16:55:22,Residential Zone,3,Yes
60,Arson,Bengaluru,12.996581,77.588719,30-03-2024,02:07:46,Residential Zone,4,Yes
61,Auto Theft,Bengaluru,12.964103,77.579839,12-03-2024,20:54:22,Market Area,4,No
62,Cheating,Bengaluru,12.953731,77.603378,12-01-2024,23:10:00,Market Area,1,No
63,POCSO Cases,Bengaluru,12.992698,77.611215,18-08-2023,12:30:32,Market Area,5,Yes
64,Riots,Bengaluru,12.979093,77.62123,13-11-2023,22:14:19,Residential Zone,4,Yes
65,Cyber Crime,Bengaluru,12.968282,77.599716,09-03-2024,08:15:33,Downtown,2,Yes
66,Cyber Crime,Bengaluru,12.990801,77.5962,09-07-2024,03:47:48,Suburb,2,No
67,Cyber Crime,Bengaluru,12.956975,77.575387,27-06-2024,19:39:05,Downtown,2,No
68,Arson,Bengaluru,13.000772,77.612367,02-01-2023,10:49:21,Downtown,4,No
69,POCSO Cases,Bengaluru,12.978668,77.608332,10-12-2024,02:49:29,Residential Zone,5,Yes
70,Gambling,Bengaluru,12.987479,77.605615,21-11-2024,03:13:19,Industrial Area,1,No
71,Counterfeiting,Bengaluru,12.9512,77.566577,31-08-2023,17:24:43,Suburb,3,Yes
72,Cyber Crime,Bengaluru,12.968838,77.601612,10-12-2023,13:52:05,Downtown,2,No
73,Criminal Breach of Trust,Bengaluru,12.97324,77.619408,17-02-2024,19:46:53,Commercial District,3,Yes
74,Burglary,Bengaluru,12.997959,77.57528,08-02-2023,07:37:33,Commercial District,3,No
75,Burglary,Bengaluru,12.962773,77.611543,24-10-2023,06:26:14,Downtown,3,No
76,Theft,Bengaluru,12.957001,77.620367,23-10-2023,22:54:20,Industrial Area,1,No
77,Counterfeiting,Bengaluru,12.947769,77.592495,28-02-2024,07:44:04,Commercial District,2,No
78,Cheating,Bengaluru,12.982269,77.567331,16-04-2024,00:48:42,Industrial Area,1,No
79,Counterfeiting,Bengaluru,12.989468,77.613943,21-05-2024,11:48:04,Suburb,3,No
80,Theft,Bengaluru,12.961756,77.573661,21-01-2024,20:49:27,Residential Zone,2,No
81,Arson,Bengaluru,12.996688,77.571032,10-08-2024,03:56:00,Residential Zone,4,No
82,Sexual Harassment,Bengaluru,12.972931,77.571039,10-04-2023,22:31:13,Market Area,4,No
83,Riots,Bengaluru,12.991969,77.62409,17-07-2023,16:14:43,Residential Zone,4,No
84,Drug Offenses,Bengaluru,12.985,77.594983,06-01-2023,07:42:22,Residential Zone,4,Yes
85,Sexual Harassment,Bengaluru,12.953907,77.600309,30-01-2024,04:38:18,Residential Zone,5,Yes
86,Arson,Bengaluru,12.952957,77.621821,15-10-2023,21:20:55,Downtown,4,Yes
87,Sexual Harassment,Bengaluru,12.958789,77.585682,25-10-2024,22:33:36,Market Area,3,No
88,POCSO Cases,Bengaluru,12.983938,77.602932,28-02-2023,04:21:35,Market Area,4,Yes
89,Kidnapping,Bengaluru,12.989659,77.573952,07-07-2024,14:29:50,Commercial District,3,Yes
90,Counterfeiting,Bengaluru,12.995821,77.608417,01-04-2023,01:31:22,Suburb,3,Yes
91,Criminal Breach of Trust,Bengaluru,12.967361,77.572739,02-05-2024,20:36:34,Commercial District,2,No
92,Theft,Bengaluru,12.99601,77.593255,15-02-2024,10:34:18,Suburb,1,No
93,Counterfeiting,Bengaluru,12.997616,77.578615,24-03-2024,00:28:26,Downtown,4,No
94,Drug Offenses,Bengaluru,12.984015,77.582886,24-06-2023,13:52:39,Residential Zone,4,Yes
95,Cheating,Bengaluru,12.967693,77.607543,14-07-2023,17:35:19,Suburb,2,No
96,Cyber Crime,Bengaluru,12.956495,77.602946,08-06-2023,13:36:42,Commercial District,4,No
97,Gambling,Bengaluru,12.983723,77.61881,13-11-2023,23:18:34,Industrial Area,1,No
98,Burglary,Bengaluru,12.956008,77.613293,28-06-2024,19:11:09,Commercial District,4,Yes
99,Drug Offenses,Bengaluru,12.974443,77.577535,11-03-2024,10:50:38,Residential Zone,4,Yes
100,Cheating,Bengaluru,12.964938,77.621073,29-08-2024,22:33:30,Downtown,2,No
101,Riots,Bengaluru,12.964167,77.615138,23-12-2024,01:34:40,Downtown,4,Yes
102,Riots,Bhopal,23.257886,77.437318,29-08-2024,17:55:44,Town Center,4,No
103,Burglary,Bhopal,23.263358,77.434689,14-05-2023,17:39:57,Municipal Area,3,No
104,Arson,Bhopal,23.289779,77.404514,08-08-2023,00:26:10,Peripheral Zone,3,No
105,Sexual Harassment,Bhopal,23.253534,77.41941,06-11-2023,02:10:05,Peripheral Zone,3,Yes
106,Theft,Bhopal,23.267226,77.431016,01-12-2024,14:45:24,Town Center,2,No
107,Burglary,Bhopal,23.259012,77.406488,31-12-2024,18:26:08,Municipal Area,3,No
108,Auto Theft,Bhopal,23.278624,77.42355,28-04-2024,07:48:23,Municipal Area,3,Yes
109,Counterfeiting,Bhopal,23.233463,77.411195,03-04-2024,00:10:14,Town Center,3,No
110,Counterfeiting,Bhopal,23.273964,77.421383,10-02-2023,10:16:39,Municipal Area,2,No
111,Sexual Harassment,Bhopal,23.231764,77.420487,06-08-2023,23:25:56,Municipal Area,3,Yes
112,Burglary,Bhopal,23.240335,77.408668,18-12-2024,23:07:30,Town Center,3,Yes
113,Counterfeiting,Bhopal,23.267986,77.404057,15-10-2024,11:17:51,Town Center,3,No
114,Burglary,Bhopal,23.262311,77.418505,10-07-2024,00:56:14,Town Center,3,No
115,Auto Theft,Bhopal,23.265245,77.436228,19-12-2024,07:11:04,Municipal Area,4,Yes
116,Cyber Crime,Bhopal,23.284585,77.438892,20-02-2024,10:55:49,Town Center,4,Yes
117,Burglary,Bhopal,23.278009,77.427896,27-12-2024,09:46:59,Town Center,3,No
118,Cheating,Bhopal,23.269475,77.400062,14-10-2023,02:19:12,Peripheral Zone,1,No
119,Burglary,Chandigarh City,30.746232,76.794611,28-06-2024,04:01:48,Town Center,3,No
120,Sexual Harassment,Chandigarh City,30.709488,76.774388,24-04-2023,23:10:39,Peripheral Zone,4,No
121,Drug Offenses,Chandigarh City,30.723749,76.788484,25-01-2023,15:23:48,Town Center,3,No
122,Counterfeiting,Chennai,13.076448,80.266521,14-11-2024,15:07:24,Downtown,2,Yes
123,Burglary,Chennai,13.05519,80.267574,17-11-2024,16:16:56,Industrial Area,3,No
124,Cheating,Chennai,13.111595,80.279089,27-03-2023,15:40:18,Industrial Area,2,Yes
125,Sexual Harassment,Chennai,13.071036,80.262759,28-06-2024,04:21:23,Industrial Area,5,Yes
126,Cyber Crime,Chennai,13.069864,80.273894,31-08-2024,20:20:27,Residential Zone,3,No
127,Drug Offenses,Chennai,13.074593,80.28883,06-03-2024,02:37:33,Market Area,4,Yes
128,Cyber Crime,Chennai,13.073591,80.287954,27-01-2024,18:33:02,Residential Zone,3,No
129,Cheating,Chennai,13.056863,80.265179,13-02-2023,09:17:46,Suburb,1,No
130,Drug Offenses,Chennai,13.082737,80.29076,08-07-2024,14:29:07,Residential Zone,4,No
131,Theft,Chennai,13.064534,80.254512,12-07-2023,11:59:07,Downtown,2,Yes
132,Arson,Chennai,13.089017,80.253062,01-11-2024,20:54:52,Downtown,4,Yes
133,Criminal Breach of Trust,Chennai,13.089426,80.263202,04-11-2024,23:36:25,Market Area,2,No
134,Criminal Breach of Trust,Chennai,13.064014,80.288402,22-01-2024,03:33:34,Residential Zone,2,Yes
135,Arson,Chennai,13.109194,80.271483,07-03-2023,00:43:33,Industrial Area,4,Yes
136,Theft,Chennai,13.103058,80.254324,16-01-2024,19:43:24,Market Area,2,No
137,Auto Theft,Chennai,13.066014,80.281485,10-01-2023,19:26:29,Downtown,2,No
138,POCSO Cases,Chennai,13.111712,80.249538,22-07-2024,07:58:39,Industrial Area,5,Yes
139,Gambling,Coimbatore,10.993268,76.943747,09-11-2024,12:07:34,Municipal Area,1,No
140,Auto Theft,Coimbatore,11.018257,76.943153,12-12-2024,06:22:11,Municipal Area,3,Yes
141,Cheating,Coimbatore,11.031158,76.967847,28-03-2023,22:52:16,Town Center,1,No
142,Sexual Harassment,Coimbatore,11.006753,76.941719,22-10-2023,05:48:15,Municipal Area,5,Yes
143,Sexual Harassment,Coimbatore,10.999689,76.979973,08-02-2023,08:31:28,Municipal Area,3,No
144,Drug Offenses,Delhi City,28.685895,77.112772,04-06-2023,23:01:17,Downtown,5,Yes
145,POCSO Cases,Delhi City,28.694526,77.109214,22-01-2023,20:58:27,Industrial Area,4,Yes
146,Drug Offenses,Delhi City,28.704887,77.08746,27-06-2024,05:43:46,Residential Zone,5,Yes
147,Cheating,Delhi City,28.685056,77.129657,16-10-2023,03:36:41,Residential Zone,3,No
148,Riots,Delhi City,28.710445,77.092488,30-01-2024,05:24:06,Residential Zone,5,Yes
149,Riots,Delhi City,28.710421,77.124593,24-06-2023,14:41:54,Commercial District,5,No
150,Burglary,Delhi City,28.727206,77.118703,01-06-2023,19:17:45,Industrial Area,3,No
151,POCSO Cases,Delhi City,28.703594,77.097835,25-01-2023,15:11:42,Market Area,4,Yes
152,Drug Offenses,Delhi City,28.700721,77.118719,27-01-2024,12:48:57,Downtown,4,Yes
153,Arson,Delhi City,28.711866,77.07571,13-12-2023,21:44:40,Suburb,4,Yes
154,Hurt,Delhi City,28.689122,77.128486,21-03-2024,17:11:59,Commercial District,3,No
155,Drug Offenses,Delhi City,28.727209,77.094195,24-11-2023,15:32:11,Industrial Area,4,Yes
156,Cheating,Delhi City,28.723519,77.092586,07-06-2023,16:34:33,Downtown,1,No
157,Arson,Delhi City,28.720302,77.093269,13-03-2024,13:35:18,Industrial Area,4,Yes
158,Counterfeiting,Delhi City,28.726552,77.122374,26-07-2024,06:36:45,Market Area,3,No
159,Riots,Delhi City,28.69243,77.095659,23-08-2023,07:14:23,Downtown,4,Yes
160,Riots,Delhi City,28.695836,77.109066,18-01-2023,00:55:39,Industrial Area,3,Yes
161,Cyber Crime,Delhi City,28.679547,77.127322,27-04-2024,01:26:58,Commercial District,4,Yes
162,Burglary,Delhi City,28.7201,77.108258,27-02-2023,15:06:35,Downtown,4,No
163,Cyber Crime,Delhi City,28.705412,77.078914,25-04-2024,07:05:41,Residential Zone,2,No
164,Riots,Delhi City,28.712948,77.085638,09-04-2023,19:36:55,Downtown,5,Yes
165,Sexual Harassment,Delhi City,28.727804,77.128002,13-09-2023,14:17:55,Commercial District,4,No
166,Criminal Breach of Trust,Delhi City,28.724255,77.112312,13-06-2023,23:44:32,Commercial District,2,Yes
167,Riots,Delhi City,28.708429,77.105184,22-01-2024,06:55:43,Downtown,4,No
168,Auto Theft,Delhi City,28.679693,77.077331,16-02-2024,20:19:30,Suburb,2,No
169,Cyber Crime,Delhi City,28.696856,77.089928,21-09-2023,03:27:12,Suburb,2,Yes
170,Gambling,Delhi City,28.728708,77.072595,03-06-2024,22:34:01,Market Area,1,No
171,Arson,Delhi City,28.692647,77.114453,02-02-2023,00:01:23,Suburb,4,Yes
172,Riots,Delhi City,28.699494,77.098384,12-07-2024,13:26:49,Residential Zone,3,No
173,Auto Theft,Delhi City,28.683666,77.107801,08-06-2023,12:53:18,Downtown,4,Yes
174,Drug Offenses,Delhi City,28.681656,77.080905,07-06-2023,04:26:00,Suburb,3,Yes
175,Hurt,Delhi City,28.730313,77.086175,09-01-2024,06:00:04,Residential Zone,1,Yes
176,Theft,Delhi City,28.70597,77.114455,29-08-2024,01:06:47,Suburb,2,No
177,Cyber Crime,Delhi City,28.684941,77.112331,16-09-2023,18:08:10,Market Area,2,No
178,Arson,Delhi City,28.719406,77.124403,07-03-2023,01:13:18,Industrial Area,5,No
179,Arson,Delhi City,28.684331,77.113121,31-08-2024,08:27:54,Commercial District,4,No
180,Theft,Delhi City,28.723707,77.089608,19-07-2023,13:34:05,Downtown,2,Yes
181,Arson,Delhi City,28.687316,77.127328,30-07-2023,02:55:02,Downtown,3,Yes
182,Criminal Breach of Trust,Delhi City,28.680784,77.090268,29-09-2024,15:45:49,Downtown,2,No
183,Drug Offenses,Delhi City,28.726467,77.124763,03-10-2024,18:30:32,Residential Zone,5,Yes
184,Criminal Breach of Trust,Delhi City,28.704343,77.12348,25-12-2024,08:32:18,Residential Zone,3,No
185,Auto Theft,Delhi City,28.682238,77.113034,30-09-2023,01:29:01,Residential Zone,3,No
186,Theft,Delhi City,28.719245,77.101337,15-09-2024,00:58:26,Commercial District,3,Yes
187,Drug Offenses,Delhi City,28.691633,77.086958,20-08-2023,18:22:43,Market Area,4,Yes
188,Gambling,Delhi City,28.69253,77.131106,20-10-2024,18:17:59,Residential Zone,1,Yes
189,Counterfeiting,Delhi City,28.6952,77.106921,03-12-2023,23:51:14,Industrial Area,3,No
190,Gambling,Delhi City,28.681392,77.111272,01-02-2023,22:47:45,Commercial District,2,No
191,Cheating,Delhi City,28.726334,77.116323,26-12-2024,07:41:31,Industrial Area,3,No
192,Burglary,Delhi City,28.677063,77.088302,24-04-2023,22:14:04,Market Area,4,Yes
193,Criminal Breach of Trust,Delhi City,28.704886,77.12597,22-05-2023,14:33:57,Industrial Area,1,No
194,Riots,Delhi City,28.719594,77.085661,16-06-2024,18:55:35,Market Area,3,Yes
195,Sexual Harassment,Delhi City,28.711051,77.122109,23-05-2024,06:03:59,Residential Zone,4,No
196,Theft,Delhi City,28.702033,77.114153,31-08-2024,04:14:35,Suburb,2,No
197,Sexual Harassment,Delhi City,28.705344,77.074453,09-09-2023,14:20:45,Downtown,4,No
198,POCSO Cases,Delhi City,28.708093,77.110412,17-08-2024,01:18:37,Suburb,5,Yes
199,Auto Theft,Delhi City,28.704871,77.122947,22-05-2024,15:40:34,Commercial District,3,No
200,Cyber Crime,Delhi City,28.688541,77.119273,03-11-2024,15:04:11,Commercial District,3,No
201,Cyber Crime,Delhi City,28.7272,77.113113,25-02-2023,05:59:03,Industrial Area,3,No
202,Criminal Breach of Trust,Delhi City,28.687402,77.081112,06-02-2024,07:14:23,Commercial District,3,Yes
203,Drug Offenses,Delhi City,28.711307,77.076465,01-07-2024,04:08:53,Market Area,4,Yes
204,Counterfeiting,Delhi City,28.711472,77.081615,27-09-2024,14:01:36,Residential Zone,4,No
205,Gambling,Delhi City,28.699564,77.123214,29-12-2024,01:57:06,Downtown,1,Yes
206,Gambling,Delhi City,28.678398,77.114023,12-01-2024,17:10:38,Suburb,1,No
207,POCSO Cases,Delhi City,28.705353,77.098822,01-07-2023,21:45:36,Industrial Area,5,Yes
208,Cyber Crime,Delhi City,28.686327,77.110602,27-03-2024,13:28:01,Residential Zone,3,Yes
209,Counterfeiting,Delhi City,28.709691,77.117509,08-06-2024,12:05:15,Downtown,2,No
210,Arson,Delhi City,28.684111,77.120303,31-12-2024,06:32:50,Downtown,3,No
211,Counterfeiting,Delhi City,28.709948,77.08162,17-07-2024,15:10:20,Market Area,4,No
212,Drug Offenses,Delhi City,28.707373,77.11931,14-05-2024,08:37:38,Commercial District,4,Yes
213,Theft,Delhi City,28.687804,77.084686,29-01-2024,11:08:20,Industrial Area,2,No
214,Criminal Breach of Trust,Delhi City,28.70112,77.129368,06-10-2023,21:38:55,Downtown,1,No
215,Cyber Crime,Delhi City,28.7108,77.126968,27-04-2023,22:19:53,Commercial District,2,No
216,Sexual Harassment,Delhi City,28.724649,77.087919,21-03-2023,13:33:31,Commercial District,5,No
217,Riots,Delhi City,28.677226,77.089402,06-05-2024,15:55:21,Residential Zone,4,Yes
218,Sexual Harassment,Delhi City,28.68187,77.082464,04-01-2023,06:33:32,Suburb,3,No
219,Burglary,Delhi City,28.704657,77.096802,05-02-2023,17:12:45,Market Area,3,Yes
220,Hurt,Delhi City,28.699383,77.101861,31-01-2024,01:09:33,Suburb,3,No
221,Hurt,Delhi City,28.69533,77.120498,02-09-2024,02:52:55,Downtown,2,No
222,Theft,Delhi City,28.713119,77.099026,05-07-2023,16:44:12,Suburb,1,No
223,Sexual Harassment,Delhi City,28.693856,77.079282,09-10-2023,11:37:53,Market Area,3,Yes
224,Gambling,Delhi City,28.684156,77.095238,23-11-2023,23:08:59,Residential Zone,1,Yes
225,Arson,Delhi City,28.720973,77.105349,15-10-2024,14:23:01,Downtown,3,No
226,Counterfeiting,Delhi City,28.677935,77.114074,07-09-2024,14:46:28,Commercial District,3,No
227,Cheating,Delhi City,28.708031,77.090637,18-05-2024,00:31:44,Suburb,3,No
228,Riots,Delhi City,28.719165,77.130492,07-06-2023,20:03:27,Residential Zone,4,Yes
229,Cyber Crime,Delhi City,28.68823,77.090661,17-12-2024,02:05:52,Suburb,3,No
230,Theft,Delhi City,28.728461,77.074907,22-07-2024,18:24:01,Suburb,2,No
231,Sexual Harassment,Delhi City,28.711313,77.122537,09-10-2023,10:03:24,Residential Zone,4,No
232,Sexual Harassment,Delhi City,28.733932,77.0981,02-02-2024,23:56:40,Market Area,3,No
233,Cyber Crime,Delhi City,28.719655,77.077694,09-09-2024,17:59:59,Residential Zone,3,No
234,Auto Theft,Delhi City,28.698873,77.093914,10-09-2023,12:44:49,Industrial Area,4,No
235,Counterfeiting,Delhi City,28.705925,77.102774,05-11-2023,07:23:36,Commercial District,3,No
236,Cyber Crime,Delhi City,28.679643,77.107682,01-06-2024,15:07:26,Downtown,3,No
237,Drug Offenses,Delhi City,28.695847,77.100251,03-01-2023,11:47:30,Commercial District,4,Yes
238,Cheating,Delhi City,28.716317,77.092983,06-04-2023,03:28:15,Market Area,2,No
239,Counterfeiting,Delhi City,28.732009,77.125417,06-01-2024,05:19:40,Suburb,4,No
240,Sexual Harassment,Delhi City,28.706307,77.098455,18-03-2023,13:59:03,Commercial District,5,No
241,Arson,Delhi City,28.733754,77.07621,09-09-2024,01:34:00,Residential Zone,4,No
242,Drug Offenses,Delhi City,28.726179,77.121379,14-08-2024,11:42:15,Downtown,4,Yes
243,Theft,Delhi City,28.700259,77.087304,23-03-2023,15:06:54,Market Area,2,No
244,POCSO Cases,Delhi City,28.691845,77.123527,25-04-2024,15:43:47,Industrial Area,4,Yes
245,Hurt,Delhi City,28.717367,77.097217,24-02-2023,21:41:50,Market Area,2,No
246,POCSO Cases,Delhi City,28.680843,77.076365,24-06-2024,22:46:15,Industrial Area,5,Yes
247,Burglary,Delhi City,28.7155,77.088529,23-07-2023,09:31:53,Industrial Area,3,No
248,Gambling,Delhi City,28.684124,77.107462,22-04-2023,20:02:48,Market Area,2,Yes
249,Sexual Harassment,Delhi City,28.710643,77.107432,25-02-2023,13:04:31,Market Area,4,No
250,Criminal Breach of Trust,Delhi City,28.726221,77.088377,11-05-2024,06:55:43,Industrial Area,3,No
251,Sexual Harassment,Delhi City,28.685129,77.11383,16-06-2023,19:17:46,Commercial District,3,No
252,Counterfeiting,Delhi City,28.694164,77.127642,17-10-2023,08:16:21,Commercial District,3,No
253,Hurt,Delhi City,28.693406,77.125419,10-12-2024,16:05:34,Residential Zone,1,No
254,POCSO Cases,Delhi City,28.680607,77.080118,02-12-2024,18:31:50,Suburb,5,Yes
255,Riots,Delhi City,28.708881,77.130164,16-02-2023,14:46:47,Residential Zone,5,No
256,Criminal Breach of Trust,Delhi City,28.679611,77.081611,11-02-2023,11:18:29,Market Area,2,No
257,Cheating,Delhi City,28.67571,77.107176,24-10-2023,09:04:43,Residential Zone,2,No
258,Riots,Delhi City,28.709369,77.086486,02-03-2023,03:01:22,Commercial District,4,Yes
259,Criminal Breach of Trust,Delhi City,28.729221,77.107681,29-06-2024,22:37:43,Industrial Area,1,No
260,Riots,Delhi City,28.732242,77.113796,07-11-2023,16:36:39,Downtown,4,No
261,Riots,Delhi City,28.681268,77.123664,26-08-2024,06:28:49,Market Area,4,Yes
262,Hurt,Delhi City,28.708382,77.1247,19-07-2023,20:49:21,Industrial Area,1,No
263,Criminal Breach of Trust,Delhi City,28.71006,77.072918,30-04-2023,23:19:48,Residential Zone,3,No
264,Riots,Delhi City,28.721327,77.087509,26-06-2024,19:07:32,Commercial District,5,Yes
265,Cheating,Delhi City,28.72897,77.097114,07-02-2024,07:22:18,Market Area,2,No
266,Cheating,Delhi City,28.729892,77.094656,28-09-2023,15:23:33,Suburb,1,No
267,Criminal Breach of Trust,Delhi City,28.680504,77.122416,09-03-2024,12:41:19,Market Area,1,No
268,Riots,Delhi City,28.69896,77.108719,17-02-2023,06:36:03,Commercial District,3,No
269,Drug Offenses,Delhi City,28.697769,77.081682,21-02-2023,06:14:09,Commercial District,4,Yes
270,POCSO Cases,Delhi City,28.714143,77.131769,09-03-2023,19:40:42,Market Area,4,Yes
271,Counterfeiting,Delhi City,28.698114,77.076429,09-08-2024,10:12:53,Residential Zone,3,No
272,Sexual Harassment,Delhi City,28.702519,77.109027,20-10-2024,04:26:24,Industrial Area,5,Yes
273,Burglary,Delhi City,28.675497,77.097337,06-06-2023,08:05:44,Industrial Area,3,No
274,Hurt,Delhi City,28.704302,77.126585,24-05-2023,13:46:27,Residential Zone,1,No
275,Counterfeiting,Delhi City,28.700791,77.088064,12-02-2024,09:50:30,Suburb,3,No
276,Theft,Delhi City,28.726075,77.129352,22-03-2024,16:26:28,Market Area,1,No
277,Counterfeiting,Delhi City,28.677547,77.098844,05-04-2023,11:05:32,Residential Zone,2,No
278,Riots,Delhi City,28.70042,77.101562,31-03-2024,21:39:55,Downtown,4,Yes
279,Riots,Delhi City,28.678093,77.116775,07-09-2023,09:37:53,Commercial District,3,No
280,Criminal Breach of Trust,Delhi City,28.703009,77.120508,03-04-2024,09:53:55,Market Area,3,Yes
281,Hurt,Delhi City,28.707287,77.084283,27-11-2023,16:45:08,Industrial Area,2,No
282,Cyber Crime,Delhi City,28.723577,77.105023,12-10-2024,14:22:26,Residential Zone,2,No
283,Theft,Delhi City,28.717857,77.08824,22-01-2024,20:13:47,Residential Zone,3,No
284,Arson,Delhi City,28.698822,77.077633,04-07-2024,00:21:27,Market Area,4,No
