Crime_ID,Crime_Type,Location,Latitude,Longitude,Date,Time,Area,Severity,Arrest_Made
CRM-00024,Shoplifting,Suburbs,34.113612,-118.185932,2024-10-08,21:46,School Zone,Low,0
CRM-00025,Burglary,Eastside,34.027735,-118.180261,2024-12-19,20:22,Residential,Medium,0
CRM-00026,Shoplifting,Westside,34.040122,-118.352515,2024-09-20,17:00,Commercial,Low,1
CRM-00027,Assault,Parkside,34.087459,-118.208253,2024-10-28,09:20,Park,High,1
CRM-00028,Fraud,Downtown,34.048234,-118.246552,2025-09-10,12:56,Commercial,Low,0
CRM-00029,Theft,Eastside,34.016266,-118.191925,2025-01-25,03:21,Residential,High,0
CRM-00030,Shoplifting,Downtown,34.045092,-118.253181,2024-07-05,15:23,Nightclub District,Low,0
CRM-00031,Vandalism,Harbor Area,33.754952,-118.246766,2025-02-24,16:29,Industrial,Low,0
CRM-00032,Burglary,Eastside,34.042212,-118.196058,2024-11-30,11:33,Industrial,Low,0
CRM-00033,Vandalism,Westside,34.027710,-118.346524,2024-11-18,04:45,Commercial,Low,0
CRM-00034,Theft,Harbor Area,33.737216,-118.263697,2025-12-30,01:08,Transit Station,Medium,1
CRM-00035,Vandalism,Suburbs,34.127541,-118.196979,2025-09-17,04:36,Park,Medium,0
CRM-00036,Vandalism,Suburbs,34.141521,-118.185902,2026-04-12,04:47,Residential,Low,0
CRM-00037,Theft,Industrial District,34.018358,-118.236632,2024-09-07,12:38,Transit Station,Medium,1
CRM-00038,Shoplifting,Uptown,34.093518,-118.269240,2024-04-29,08:49,Commercial,Low,1
CRM-00039,Assault,Uptown,34.088820,-118.259562,2024-02-13,23:20,Residential,High,1
CRM-00040,Assault,Westside,34.052441,-118.354254,2024-10-06,01:23,Residential,High,1
CRM-00041,Burglary,Uptown,34.077944,-118.284552,2026-05-24,17:08,Park,Medium,0
CRM-00042,Shoplifting,Uptown,34.074615,-118.287446,2025-06-27,06:55,Commercial,Medium,1
CRM-00043,Shoplifting,Industrial District,34.022044,-118.221695,2025-09-19,08:00,Industrial,Medium,1
CRM-00044,Burglary,Suburbs,34.127760,-118.193312,2026-04-18,14:46,Park,Medium,1
CRM-00045,Burglary,Industrial District,34.007068,-118.244657,2025-06-18,21:54,Industrial,High,0
CRM-00046,Assault,Parkside,34.094754,-118.200219,2024-03-31,03:57,Residential,High,1
CRM-00047,Assault,Downtown,34.045084,-118.248220,2026-02-10,02:20,Nightclub District,High,1
CRM-00048,Vandalism,Parkside,34.098596,-118.196598,2026-01-04,06:40,Residential,Low,0
CRM-00049,Shoplifting,Uptown,34.090942,-118.288451,2024-05-16,17:31,Park,Low,1
CRM-00050,Fraud,Eastside,34.025927,-118.185110,2026-01-16,06:01,Industrial,Medium,1
CRM-00051,Assault,Westside,34.031860,-118.338523,2024-06-28,09:18,Residential,High,1
CRM-00052,Assault,Parkside,34.086747,-118.192200,2026-03-05,01:25,Park,High,1
CRM-00053,Theft,Eastside,34.021096,-118.206521,2024-10-19,14:00,Commercial,Medium,0
CRM-00054,Assault,Downtown,34.044222,-118.241632,2024-03-21,20:59,Commercial,High,0
CRM-00055,Shoplifting,Parkside,34.080356,-118.206996,2025-09-29,13:16,Residential,Low,1
CRM-00056,Theft,Downtown,34.053275,-118.247435,2025-05-15,11:07,Commercial,Medium,0
CRM-00057,Drug Offense,Parkside,34.096781,-118.204848,2025-12-09,20:33,Park,Medium,1
CRM-00058,Shoplifting,Eastside,34.032219,-118.182586,2024-05-25,13:37,Residential,Low,0
CRM-00059,Burglary,Industrial District,34.002508,-118.227715,2026-05-09,13:44,Industrial,Medium,0
CRM-00060,Theft,Westside,34.036606,-118.336638,2024-03-03,00:45,Commercial,Medium,0
CRM-00061,Drug Offense,Uptown,34.083195,-118.281384,2025-06-22,07:42,Residential,Medium,1
CRM-00062,Shoplifting,Eastside,34.047014,-118.201586,2026-03-22,19:45,Industrial,Low,1
CRM-00063,Theft,Eastside,34.035873,-118.202458,2024-06-28,21:48,Industrial,High,0
CRM-00064,Vandalism,Uptown,34.075956,-118.284381,2024-07-13,06:56,Commercial,Low,0
CRM-00065,Theft,Westside,34.039715,-118.353510,2026-04-13,18:54,Residential,Medium,1
CRM-00066,Theft,Uptown,34.083520,-118.286916,2024-06-26,15:22,Commercial,Low,0
CRM-00067,Burglary,Uptown,34.072969,-118.286338,2025-08-04,06:11,Residential,Medium,1
CRM-00068,Fraud,Parkside,34.103071,-118.187268,2025-08-19,06:38,Residential,Low,1
CRM-00069,Assault,Harbor Area,33.741959,-118.257773,2024-03-26,00:11,Commercial,Medium,1
CRM-00070,Vandalism,Westside,34.045917,-118.353059,2025-04-18,07:30,Commercial,Low,0
CRM-00071,Fraud,Downtown,34.052279,-118.243365,2025-06-24,17:59,Commercial,Low,1
CRM-00072,Shoplifting,Suburbs,34.123546,-118.188585,2025-10-16,06:37,School Zone,Low,0
CRM-00073,Burglary,Westside,34.038534,-118.344389,2024-05-09,12:16,Transit Station,High,1
CRM-00074,Assault,Suburbs,34.122036,-118.179156,2026-03-21,12:31,Park,High,0
CRM-00075,Theft,Uptown,34.071263,-118.285870,2024-02-25,12:38,Residential,Medium,1
CRM-00076,Shoplifting,Suburbs,34.134035,-118.187940,2026-05-27,04:31,School Zone,Low,1
CRM-00077,Theft,Eastside,34.027199,-118.187902,2024-10-31,09:51,Commercial,High,0
CRM-00078,Theft,Eastside,34.008819,-118.200546,2024-06-06,14:43,Industrial,Medium,0
CRM-00079,Fraud,Downtown,34.049538,-118.240577,2025-02-16,22:24,Commercial,Low,0
CRM-00080,Assault,Suburbs,34.108070,-118.180465,2024-02-27,07:59,Residential,Medium,0
CRM-00081,Drug Offense,Uptown,34.089029,-118.288794,2025-03-11,13:34,Park,Medium,1
CRM-00082,Burglary,Parkside,34.092100,-118.214510,2026-02-20,20:57,Residential,High,0
CRM-00083,Burglary,Eastside,34.024187,-118.175175,2024-12-22,17:11,Industrial,Low,0
CRM-00084,Robbery,Industrial District,34.003162,-118.234787,2025-01-27,12:11,Industrial,High,0
CRM-00085,Fraud,Downtown,34.063250,-118.240277,2026-05-23,08:36,Nightclub District,Low,0
CRM-00086,Assault,Parkside,34.091070,-118.212642,2025-01-13,02:05,School Zone,High,1
CRM-00087,Theft,Uptown,34.081390,-118.282719,2025-10-11,00:34,Commercial,Medium,0
CRM-00088,Theft,Suburbs,34.110148,-118.181860,2025-05-18,07:24,Residential,High,0
CRM-00089,Theft,Parkside,34.093227,-118.219474,2025-12-10,14:24,School Zone,High,0
CRM-00090,Vandalism,Industrial District,34.005170,-118.229167,2024-04-12,10:58,Transit Station,Medium,0
CRM-00091,Drug Offense,Uptown,34.089788,-118.282522,2024-05-26,17:14,Residential,Low,1
CRM-00092,Burglary,Suburbs,34.113817,-118.183062,2025-04-18,06:06,Residential,Low,0
CRM-00093,Vandalism,Industrial District,34.019414,-118.231523,2024-01-26,18:57,Transit Station,Low,0
CRM-00094,Theft,Suburbs,34.130454,-118.184211,2024-10-18,03:18,Park,Medium,0
CRM-00095,Robbery,Parkside,34.098834,-118.199091,2025-11-27,01:35,Residential,High,0
CRM-00096,Vandalism,Suburbs,34.133499,-118.173133,2024-09-19,09:09,School Zone,Medium,0
CRM-00097,Assault,Suburbs,34.117768,-118.175228,2025-06-28,18:32,Residential,High,1
CRM-00098,Fraud,Westside,34.043979,-118.347772,2024-03-21,16:54,Commercial,Low,1
CRM-00099,Vandalism,Westside,34.042053,-118.361270,2026-01-24,13:28,Transit Station,Low,0
CRM-00100,Fraud,Industrial District,33.992497,-118.219357,2025-12-28,10:52,Transit Station,Low,0
CRM-00101,Burglary,Eastside,34.039384,-118.194081,2024-06-24,23:54,Industrial,High,0
CRM-00102,Burglary,Eastside,34.031650,-118.187317,2024-07-05,14:37,Industrial,Low,0
CRM-00103,Shoplifting,Eastside,34.028154,-118.206868,2025-11-02,18:44,Commercial,Low,0
CRM-00104,Burglary,Industrial District,34.001806,-118.210593,2024-05-23,04:35,Industrial,Medium,0
CRM-00105,Vandalism,Eastside,34.035302,-118.191460,2024-04-17,21:33,Industrial,Low,0
CRM-00106,Fraud,Harbor Area,33.745530,-118.263181,2026-01-07,10:48,Transit Station,Low,0
CRM-00107,Robbery,Downtown,34.036705,-118.256354,2025-12-30,11:02,Transit Station,High,1
CRM-00108,Drug Offense,Uptown,34.090619,-118.292421,2025-05-17,18:59,Park,Medium,1
CRM-00109,Assault,Industrial District,34.017882,-118.231617,2025-05-13,03:24,Transit Station,High,1
CRM-00110,Vandalism,Parkside,34.098200,-118.200257,2026-04-20,16:07,School Zone,Low,1
CRM-00111,Theft,Industrial District,34.002291,-118.218678,2024-08-16,02:37,Transit Station,Medium,0
CRM-00112,Shoplifting,Parkside,34.088834,-118.194273,2024-10-11,18:50,School Zone,Low,0
CRM-00113,Robbery,Parkside,34.090367,-118.201267,2024-05-09,07:50,Park,High,0
CRM-00114,Drug Offense,Westside,34.047796,-118.344010,2025-02-25,17:20,Transit Station,High,1
CRM-00115,Burglary,Industrial District,34.013207,-118.235729,2024-07-10,20:25,Industrial,Medium,0
CRM-00116,Theft,Uptown,34.072536,-118.272719,2024-06-09,03:29,Park,Medium,0
CRM-00117,Shoplifting,Uptown,34.077796,-118.279602,2025-06-10,22:06,Commercial,Medium,0
CRM-00118,Vandalism,Eastside,34.042757,-118.185860,2025-06-23,22:27,Industrial,Medium,0
CRM-00119,Vandalism,Uptown,34.081086,-118.285618,2024-11-23,17:24,Residential,Low,0
CRM-00120,Burglary,Industrial District,34.015999,-118.214363,2024-12-27,05:18,Industrial,Medium,0
CRM-00121,Fraud,Eastside,34.045718,-118.205019,2024-10-08,22:12,Residential,Low,1
CRM-00122,Shoplifting,Harbor Area,33.737357,-118.267417,2024-01-04,22:40,Transit Station,Low,0
CRM-00123,Robbery,Uptown,34.075940,-118.289440,2024-10-22,02:01,Park,Medium,0
CRM-00124,Fraud,Westside,34.049759,-118.345108,2024-08-19,18:44,Residential,Low,0
CRM-00125,Vandalism,Harbor Area,33.747298,-118.258738,2025-07-12,20:48,Commercial,Medium,0
CRM-00126,Robbery,Uptown,34.088111,-118.285049,2024-02-14,05:32,Residential,High,0
CRM-00127,Theft,Industrial District,34.014652,-118.220905,2026-03-16,04:17,Transit Station,Medium,0
CRM-00128,Burglary,Eastside,34.044534,-118.192633,2024-04-28,17:07,Residential,Medium,0
CRM-00129,Robbery,Downtown,34.049069,-118.248796,2024-06-09,08:00,Nightclub District,High,1
CRM-00130,Theft,Uptown,34.092238,-118.270234,2025-02-21,02:00,Commercial,Medium,0
CRM-00131,Vandalism,Suburbs,34.119535,-118.179628,2024-03-09,14:00,Residential,Low,0
CRM-00132,Shoplifting,Eastside,34.032433,-118.192242,2024-09-10,18:33,Industrial,Medium,0
CRM-00133,Theft,Westside,34.051956,-118.346170,2024-05-15,07:37,Commercial,Medium,0
CRM-00134,Burglary,Industrial District,34.007778,-118.229858,2025-02-05,09:04,Industrial,Medium,0
CRM-00135,Fraud,Industrial District,34.013050,-118.224024,2024-07-09,07:35,Industrial,Low,1
CRM-00136,Fraud,Downtown,34.064070,-118.247418,2024-04-21,10:51,Nightclub District,Low,0
CRM-00137,Assault,Westside,34.043395,-118.335898,2024-09-26,20:03,Commercial,High,1
CRM-00138,Assault,Downtown,34.062756,-118.234440,2024-05-16,15:45,Nightclub District,Medium,1
CRM-00139,Robbery,Suburbs,34.120915,-118.184603,2024-08-22,11:08,Park,High,1
CRM-00140,Shoplifting,Harbor Area,33.756974,-118.254069,2026-04-23,18:19,Commercial,Low,0
CRM-00141,Robbery,Industrial District,34.012395,-118.216720,2024-04-01,03:40,Transit Station,High,0
CRM-00142,Vandalism,Suburbs,34.115548,-118.177430,2024-02-19,08:39,School Zone,Medium,0
CRM-00143,Robbery,Parkside,34.099387,-118.199883,2024-02-29,02:39,Park,High,0
CRM-00144,Assault,Uptown,34.079850,-118.275266,2026-03-07,04:08,Park,Medium,1
CRM-00145,Burglary,Harbor Area,33.738130,-118.265952,2025-12-07,05:13,Industrial,Low,0
CRM-00146,Assault,Eastside,34.025220,-118.187562,2025-05-05,22:35,Residential,High,0
CRM-00147,Drug Offense,Westside,34.055578,-118.350022,2026-04-09,11:42,Transit Station,Low,1
CRM-00148,Theft,Harbor Area,33.740266,-118.247654,2024-11-10,09:24,Industrial,Medium,0
CRM-00149,Assault,Westside,34.052704,-118.340313,2024-03-17,03:41,Commercial,High,1
CRM-00150,Vandalism,Suburbs,34.123729,-118.180951,2025-09-17,04:14,Park,Medium,0
CRM-00151,Theft,Industrial District,34.014561,-118.229586,2025-02-23,01:00,Industrial,Medium,0
CRM-00152,Vandalism,Industrial District,34.012671,-118.218956,2024-07-31,16:51,Industrial,Low,0
CRM-00153,Fraud,Harbor Area,33.731990,-118.271310,2024-06-04,21:24,Commercial,Low,1
CRM-00154,Theft,Suburbs,34.135709,-118.171776,2026-03-23,22:49,School Zone,Medium,1
CRM-00155,Fraud,Eastside,34.031927,-118.188483,2025-05-13,08:05,Industrial,Low,0
CRM-00156,Theft,Downtown,34.063867,-118.245270,2026-05-18,14:07,Commercial,Medium,0
CRM-00157,Theft,Westside,34.049318,-118.345612,2025-01-09,04:04,Residential,Medium,0
CRM-00158,Vandalism,Industrial District,34.022625,-118.227779,2025-02-21,22:31,Industrial,Low,0
CRM-00159,Shoplifting,Suburbs,34.127304,-118.166773,2026-02-09,16:44,School Zone,Low,0
CRM-00160,Robbery,Harbor Area,33.744822,-118.258564,2024-09-19,00:39,Transit Station,High,0
CRM-00161,Vandalism,Industrial District,34.008927,-118.225465,2026-03-18,12:23,Industrial,Low,0
CRM-00162,Assault,Eastside,34.029866,-118.188080,2025-01-26,09:01,Residential,High,1
CRM-00163,Theft,Parkside,34.092279,-118.200679,2024-05-08,03:32,School Zone,Medium,0
CRM-00164,Assault,Uptown,34.063026,-118.287155,2026-05-05,01:20,Residential,High,0
CRM-00165,Assault,Westside,34.044922,-118.343349,2024-06-08,11:26,Residential,High,0
CRM-00166,Theft,Eastside,34.025390,-118.202497,2024-07-07,20:31,Residential,Medium,0
CRM-00167,Theft,Downtown,34.047245,-118.236072,2024-09-03,07:41,Transit Station,Medium,0
CRM-00168,Robbery,Suburbs,34.121461,-118.188031,2024-06-05,01:30,Residential,High,1
CRM-00169,Robbery,Eastside,34.045910,-118.187540,2025-09-22,00:06,Commercial,High,1
CRM-00170,Assault,Suburbs,34.131931,-118.181782,2025-02-28,21:08,Park,High,0
CRM-00171,Theft,Eastside,34.032668,-118.191651,2024-01-05,13:41,Industrial,High,0
CRM-00172,Robbery,Industrial District,34.017628,-118.217816,2025-02-27,22:24,Transit Station,Medium,1
CRM-00173,Vandalism,Suburbs,34.114768,-118.193462,2024-01-28,21:01,Residential,Low,0
CRM-00174,Assault,Suburbs,34.131298,-118.170609,2024-02-21,19:45,Park,High,0
CRM-00175,Robbery,Parkside,34.094404,-118.195615,2025-10-16,14:08,Park,High,1
CRM-00176,Vandalism,Westside,34.046566,-118.339841,2024-04-08,07:23,Commercial,Medium,0
CRM-00177,Assault,Harbor Area,33.749695,-118.273715,2025-09-15,03:36,Commercial,High,1
CRM-00178,Burglary,Harbor Area,33.744313,-118.267598,2024-07-19,23:57,Industrial,Medium,0
CRM-00179,Vandalism,Industrial District,34.023314,-118.230302,2025-05-28,23:15,Industrial,Low,0
CRM-00180,Robbery,Uptown,34.092909,-118.283086,2026-03-28,13:47,Residential,High,1
CRM-00181,Shoplifting,Downtown,34.048097,-118.246308,2025-04-22,18:49,Commercial,Low,0
CRM-00182,Assault,Uptown,34.085847,-118.285633,2025-01-17,18:04,Park,High,1
CRM-00183,Theft,Eastside,34.042664,-118.186169,2024-02-03,02:50,Industrial,Medium,0
CRM-00184,Theft,Parkside,34.088419,-118.203550,2025-10-19,22:40,School Zone,Medium,0
CRM-00185,Assault,Downtown,34.044226,-118.245516,2024-10-05,01:07,Commercial,Medium,1
CRM-00186,Burglary,Uptown,34.101030,-118.283170,2025-05-07,19:54,Residential,Medium,0
CRM-00187,Assault,Industrial District,34.014465,-118.221004,2025-03-16,00:43,Transit Station,High,1
CRM-00188,Assault,Downtown,34.047812,-118.248475,2026-02-20,03:32,Nightclub District,High,1
CRM-00189,Shoplifting,Harbor Area,33.749664,-118.260580,2025-01-07,19:20,Industrial,Medium,0
CRM-00190,Fraud,Eastside,34.023785,-118.191555,2024-08-25,12:45,Commercial,Low,0
CRM-00191,Fraud,Parkside,34.090823,-118.191003,2025-04-04,10:57,Park,Low,0
CRM-00192,Shoplifting,Parkside,34.104416,-118.206349,2026-05-26,19:17,School Zone,Medium,0
CRM-00193,Burglary,Industrial District,34.020158,-118.221593,2024-08-06,17:39,Transit Station,Medium,0
CRM-00194,Theft,Suburbs,34.136420,-118.186050,2024-03-23,11:06,Residential,High,0
CRM-00195,Theft,Suburbs,34.125990,-118.194317,2024-03-12,16:06,School Zone,Low,1
CRM-00196,Theft,Eastside,34.042977,-118.195220,2025-01-16,09:48,Industrial,High,0
CRM-00197,Fraud,Downtown,34.045957,-118.240029,2025-04-30,05:42,Commercial,Low,1
CRM-00198,Fraud,Eastside,34.042709,-118.193325,2025-02-23,16:49,Industrial,Medium,0
CRM-00199,Drug Offense,Parkside,34.093349,-118.209457,2025-01-29,22:38,Park,Medium,1
CRM-00200,Theft,Eastside,34.030367,-118.196833,2025-11-19,06:07,Industrial,Medium,0
CRM-00201,Vandalism,Parkside,34.093452,-118.196827,2024-04-15,23:14,Park,Low,0
CRM-00202,Vandalism,Uptown,34.090113,-118.293613,2025-11-22,13:34,Park,Low,0
CRM-00203,Drug Offense,Downtown,34.063634,-118.246645,2025-07-14,20:24,Commercial,Medium,1
CRM-00204,Shoplifting,Industrial District,34.000969,-118.224142,2026-05-16,14:30,Industrial,Low,1
CRM-00205,Burglary,Harbor Area,33.743156,-118.282078,2025-10-02,10:04,Transit Station,Medium,1
CRM-00206,Fraud,Eastside,34.028726,-118.195542,2024-09-12,22:13,Commercial,Low,0
CRM-00207,Theft,Harbor Area,33.743865,-118.256642,2026-01-31,01:26,Commercial,Medium,0
CRM-00208,Assault,Harbor Area,33.731679,-118.266180,2024-02-03,14:07,Transit Station,High,1
CRM-00209,Shoplifting,Eastside,34.029977,-118.192719,2025-07-20,06:01,Commercial,Low,0
CRM-00210,Robbery,Harbor Area,33.743578,-118.257426,2025-05-11,00:07,Commercial,Medium,0
CRM-00211,Fraud,Uptown,34.071366,-118.277337,2025-05-11,22:22,Commercial,Low,0
CRM-00212,Fraud,Downtown,34.046757,-118.255259,2025-08-02,16:32,Commercial,Low,0
CRM-00213,Shoplifting,Suburbs,34.117270,-118.176864,2024-03-12,05:28,School Zone,Low,0
CRM-00214,Robbery,Suburbs,34.125028,-118.174451,2024-05-09,03:43,Park,High,0
CRM-00215,Burglary,Uptown,34.103046,-118.276851,2024-03-16,14:35,Residential,Medium,0
CRM-00216,Assault,Uptown,34.079860,-118.288857,2026-01-04,23:47,Park,Medium,1
CRM-00217,Vandalism,Parkside,34.081976,-118.210368,2025-09-07,21:46,Park,Low,1
CRM-00218,Theft,Parkside,34.078007,-118.215687,2025-05-20,11:35,School Zone,Medium,0
CRM-00219,Drug Offense,Uptown,34.067318,-118.281200,2024-05-30,10:33,Park,Medium,1
CRM-00220,Theft,Uptown,34.072049,-118.273188,2024-10-22,03:49,Residential,High,0
CRM-00221,Shoplifting,Eastside,34.028093,-118.204595,2025-02-11,16:10,Commercial,Low,1
CRM-00222,Vandalism,Industrial District,34.005366,-118.215710,2025-09-17,06:53,Industrial,Low,0
CRM-00223,Burglary,Industrial District,34.001301,-118.240139,2025-02-23,06:32,Transit Station,Medium,0
CRM-00224,Drug Offense,Uptown,34.087049,-118.282483,2025-08-03,23:21,Park,Medium,0
CRM-00225,Shoplifting,Parkside,34.101171,-118.206252,2025-10-07,22:40,School Zone,Low,0
CRM-00226,Shoplifting,Industrial District,34.014833,-118.220248,2025-12-25,20:27,Transit Station,Low,0
CRM-00227,Assault,Downtown,34.057522,-118.253445,2025-01-02,00:19,Nightclub District,High,0
CRM-00228,Drug Offense,Uptown,34.074762,-118.286876,2026-05-16,13:01,Park,Medium,0
CRM-00229,Assault,Suburbs,34.125995,-118.179148,2025-02-07,03:43,School Zone,High,0
CRM-00230,Assault,Uptown,34.077531,-118.283646,2024-06-18,02:41,Commercial,High,1
CRM-00231,Theft,Suburbs,34.132899,-118.182423,2026-03-07,01:57,School Zone,Medium,0
CRM-00232,Theft,Westside,34.039403,-118.344626,2026-04-06,05:43,Transit Station,Medium,0
CRM-00233,Drug Offense,Industrial District,33.993686,-118.233546,2025-12-05,08:30,Industrial,Medium,1
CRM-00234,Shoplifting,Suburbs,34.128059,-118.170117,2024-08-08,12:48,Residential,Low,1
CRM-00235,Theft,Eastside,34.026088,-118.207050,2025-02-11,08:18,Commercial,Medium,0
CRM-00236,Robbery,Downtown,34.035581,-118.221259,2025-08-29,04:29,Nightclub District,Medium,0
CRM-00237,Shoplifting,Westside,34.035556,-118.333484,2024-06-26,16:38,Commercial,Low,1
CRM-00238,Fraud,Eastside,34.030680,-118.182607,2024-06-10,06:30,Residential,Low,0
CRM-00239,Vandalism,Parkside,34.084523,-118.207559,2025-03-18,10:40,School Zone,Low,0
CRM-00240,Burglary,Industrial District,34.003880,-118.232978,2024-10-21,04:12,Transit Station,Medium,0
CRM-00241,Robbery,Westside,34.040164,-118.344968,2025-09-11,10:32,Residential,Medium,0
CRM-00242,Vandalism,Suburbs,34.126783,-118.190740,2025-12-28,19:05,School Zone,Low,0
CRM-00243,Shoplifting,Parkside,34.091677,-118.213616,2025-10-02,16:39,Park,Low,1
CRM-00244,Assault,Downtown,34.042548,-118.244299,2025-12-17,01:17,Commercial,High,1
CRM-00245,Burglary,Downtown,34.067439,-118.251893,2024-11-10,10:55,Nightclub District,Low,0
CRM-00246,Assault,Harbor Area,33.743763,-118.261492,2024-12-09,08:30,Industrial,High,1
CRM-00247,Fraud,Westside,34.046741,-118.338518,2025-05-19,14:12,Residential,Low,0
CRM-00248,Assault,Eastside,34.030241,-118.179267,2025-07-31,12:31,Residential,High,0
CRM-00249,Vandalism,Industrial District,34.003980,-118.220950,2024-06-29,22:21,Transit Station,Low,1
CRM-00250,Shoplifting,Downtown,34.036381,-118.248152,2024-04-17,17:50,Commercial,Medium,1
CRM-00251,Shoplifting,Eastside,34.026458,-118.203914,2024-03-06,09:45,Commercial,Low,1
CRM-00252,Drug Offense,Uptown,34.078466,-118.276429,2024-08-16,08:57,Residential,Medium,1
CRM-00253,Drug Offense,Industrial District,34.021182,-118.218123,2024-06-13,07:17,Transit Station,Low,1
CRM-00254,Shoplifting,Parkside,34.103188,-118.208543,2025-03-04,20:38,Residential,Low,0
CRM-00255,Theft,Suburbs,34.113035,-118.177948,2024-06-05,16:11,School Zone,Medium,0
CRM-00256,Assault,Harbor Area,33.750124,-118.264958,2025-06-18,19:18,Industrial,High,0
CRM-00257,Theft,Suburbs,34.121799,-118.188281,2025-06-08,00:03,School Zone,High,0
CRM-00258,Shoplifting,Downtown,34.041181,-118.252546,2025-12-11,13:00,Commercial,Low,1
CRM-00259,Assault,Suburbs,34.124475,-118.203734,2024-11-07,08:00,Park,High,0
CRM-00260,Theft,Parkside,34.104613,-118.222131,2025-03-25,13:38,Residential,Medium,0
CRM-00261,Theft,Westside,34.053719,-118.338582,2024-11-18,06:35,Residential,High,0
CRM-00262,Fraud,Industrial District,34.006148,-118.222720,2024-04-11,10:15,Transit Station,Low,1
CRM-00263,Assault,Harbor Area,33.734090,-118.262824,2024-07-04,06:52,Transit Station,High,0
CRM-00264,Theft,Harbor Area,33.752389,-118.269538,2025-03-21,02:50,Commercial,Medium,0
CRM-00265,Theft,Industrial District,34.004952,-118.222441,2025-07-05,04:23,Industrial,Low,0
CRM-00266,Vandalism,Parkside,34.096386,-118.191718,2025-11-28,23:43,Park,Low,1
CRM-00267,Vandalism,Suburbs,34.138508,-118.189107,2024-01-22,08:46,School Zone,Low,0
CRM-00268,Burglary,Westside,34.049662,-118.336257,2024-06-10,22:17,Transit Station,Medium,0
CRM-00269,Assault,Uptown,34.089984,-118.288028,2024-11-16,03:38,Park,High,1
CRM-00270,Theft,Parkside,34.093695,-118.213569,2024-04-06,23:14,School Zone,High,0
CRM-00271,Theft,Harbor Area,33.727087,-118.268036,2024-08-31,05:57,Commercial,Medium,0
CRM-00272,Vandalism,Downtown,34.054747,-118.255426,2024-01-04,21:30,Commercial,Medium,1
CRM-00273,Burglary,Eastside,34.025747,-118.185596,2024-03-25,20:14,Commercial,High,0
CRM-00274,Shoplifting,Uptown,34.087394,-118.279418,2024-08-21,11:54,Commercial,Low,0
CRM-00275,Shoplifting,Suburbs,34.127786,-118.194072,2026-05-14,23:50,Residential,Low,1
CRM-00276,Assault,Industrial District,34.017307,-118.235607,2024-03-20,01:33,Transit Station,High,0
CRM-00277,Vandalism,Industrial District,34.018872,-118.226540,2025-05-06,20:20,Transit Station,Low,0
CRM-00278,Robbery,Harbor Area,33.738831,-118.268318,2024-02-15,00:14,Transit Station,High,0
CRM-00279,Theft,Parkside,34.085589,-118.203345,2024-08-17,12:33,School Zone,Medium,0
CRM-00280,Robbery,Uptown,34.082681,-118.287494,2024-08-23,23:01,Commercial,High,1
CRM-00281,Shoplifting,Downtown,34.054768,-118.249570,2024-08-29,14:35,Commercial,Low,0
